Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Ancestral,Landrace,12,999,1.8468499683614967,0.102,0.12239999999999998
Ancestral,Modern,28,999,5.581065085429557,0.001,0.002
Ancestral,NA,12,999,14.585214856945113,0.001,0.002
Landrace,Modern,24,999,0.5701087872677832,0.862,0.862
Landrace,NA,8,999,14.6608016568751,0.031,0.0465
Modern,NA,24,999,17.115197578287837,0.001,0.002
