ID	A1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	A1_2	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	A1_3	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1
799c5f96e0d969159822ef34e5327d5e	53.0	12.0	35.0	62.0	17.0	18.0	27.0	64.0	20.0	23.0	25.0	24.0	55.0	69.0	67.0	31.0	225.0	104.0	23.0	52.0	11.0	50.0	17.0	21.0	100.0	22.0	0.0	0.0	0.0	0.0	24.0	30.0	32.0	51.0	37.0	66.0
c4f31f41ccb6772e7fb7d01bc0943ac0	0.0	27.0	32.0	50.0	19.0	16.0	29.0	69.0	22.0	14.0	39.0	21.0	57.0	74.0	62.0	13.0	226.0	111.0	20.0	56.0	34.0	65.0	23.0	19.0	86.0	16.0	0.0	0.0	0.0	0.0	26.0	41.0	38.0	68.0	24.0	67.0
a3622a1f1891b9b3042ec1989f4e8ca4	101.0	17.0	96.0	23.0	43.0	66.0	48.0	40.0	24.0	22.0	13.0	28.0	0.0	98.0	11.0	30.0	38.0	33.0	102.0	42.0	36.0	90.0	30.0	209.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	44.0	75.0	21.0
ac254b87afe1d88169dc6b70bc3c7c98	107.0	53.0	71.0	42.0	24.0	29.0	45.0	24.0	47.0	9.0	27.0	20.0	25.0	45.0	47.0	29.0	54.0	43.0	85.0	50.0	25.0	123.0	33.0	93.0	31.0	37.0	0.0	0.0	0.0	0.0	29.0	27.0	66.0	24.0	28.0	35.0
1a9e9c3fa3fb0529c0618baf5ce2ff04	0.0	34.0	85.0	31.0	38.0	41.0	61.0	47.0	21.0	31.0	31.0	32.0	0.0	57.0	43.0	68.0	94.0	69.0	73.0	57.0	45.0	41.0	45.0	49.0	18.0	23.0	0.0	0.0	0.0	0.0	141.0	34.0	26.0	22.0	31.0	32.0
54606a3cedeac475a05f9460e52f04be	73.0	84.0	12.0	64.0	33.0	0.0	10.0	26.0	19.0	55.0	24.0	25.0	83.0	26.0	20.0	55.0	49.0	50.0	66.0	43.0	28.0	22.0	94.0	0.0	15.0	26.0	0.0	0.0	0.0	0.0	67.0	74.0	48.0	28.0	75.0	22.0
aaf841d550d6e10778daef6130c7a9f4	0.0	32.0	104.0	43.0	43.0	42.0	51.0	42.0	39.0	35.0	36.0	16.0	0.0	38.0	20.0	56.0	109.0	56.0	62.0	81.0	35.0	47.0	0.0	72.0	46.0	40.0	0.0	0.0	0.0	0.0	0.0	34.0	29.0	35.0	25.0	44.0
d2b213f07bb8905bc7eb580ee5ee42a0	38.0	17.0	25.0	59.0	33.0	16.0	32.0	60.0	27.0	19.0	30.0	22.0	53.0	52.0	55.0	22.0	179.0	93.0	28.0	51.0	23.0	46.0	23.0	16.0	69.0	25.0	0.0	0.0	0.0	0.0	28.0	28.0	28.0	29.0	24.0	53.0
a3acf03383dd63899ef199bedd92c0cd	75.0	57.0	17.0	81.0	39.0	0.0	12.0	15.0	11.0	43.0	20.0	25.0	105.0	27.0	24.0	42.0	39.0	38.0	59.0	44.0	39.0	14.0	116.0	0.0	10.0	9.0	0.0	0.0	0.0	0.0	67.0	77.0	48.0	31.0	84.0	26.0
fb6fe18ff09027c3e1358f28960feeb5	0.0	23.0	72.0	28.0	49.0	63.0	49.0	37.0	22.0	0.0	14.0	28.0	0.0	97.0	30.0	41.0	43.0	33.0	90.0	53.0	33.0	106.0	27.0	182.0	24.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	33.0
34eef75110c6361601c00090f453b4d2	0.0	40.0	68.0	32.0	15.0	27.0	45.0	20.0	40.0	40.0	36.0	22.0	30.0	47.0	23.0	25.0	36.0	53.0	67.0	59.0	34.0	115.0	29.0	89.0	50.0	35.0	0.0	0.0	0.0	0.0	29.0	34.0	47.0	26.0	15.0	28.0
b7f8d466363f53cfc053235d99a96c60	57.0	55.0	38.0	44.0	32.0	0.0	15.0	17.0	16.0	47.0	19.0	22.0	71.0	36.0	25.0	62.0	54.0	29.0	53.0	40.0	26.0	19.0	102.0	64.0	16.0	17.0	0.0	0.0	0.0	0.0	53.0	67.0	39.0	18.0	62.0	25.0
88f41e7dfa6d2ecd44a1f744cb2b23d5	0.0	45.0	81.0	23.0	25.0	70.0	42.0	30.0	23.0	31.0	13.0	39.0	0.0	99.0	29.0	49.0	47.0	54.0	76.0	39.0	26.0	112.0	25.0	131.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	30.0	0.0	23.0
994117eb6ac5d18b1e78eb5f59357c8f	0.0	23.0	29.0	65.0	17.0	16.0	31.0	49.0	17.0	22.0	20.0	12.0	45.0	52.0	50.0	19.0	191.0	79.0	29.0	28.0	26.0	41.0	21.0	26.0	78.0	25.0	0.0	0.0	0.0	0.0	19.0	28.0	25.0	36.0	25.0	61.0
5ccc871abc5c3ff1a9cb154d52c8016a	62.0	32.0	21.0	19.0	34.0	25.0	21.0	17.0	22.0	70.0	34.0	26.0	28.0	17.0	0.0	29.0	38.0	26.0	73.0	30.0	37.0	14.0	155.0	33.0	21.0	24.0	29.0	51.0	20.0	30.0	21.0	19.0	22.0	28.0	16.0	35.0
d670565b1ac963435ef21eb301540933	0.0	29.0	75.0	36.0	27.0	41.0	61.0	39.0	17.0	34.0	23.0	21.0	0.0	42.0	41.0	68.0	80.0	57.0	44.0	59.0	29.0	38.0	77.0	48.0	33.0	22.0	0.0	0.0	0.0	0.0	0.0	18.0	18.0	22.0	38.0	41.0
0a170cdea1998b618b475639bb76b870	65.0	71.0	22.0	43.0	26.0	0.0	17.0	13.0	19.0	46.0	12.0	28.0	78.0	34.0	24.0	56.0	40.0	31.0	36.0	53.0	15.0	22.0	99.0	0.0	12.0	28.0	0.0	0.0	0.0	0.0	56.0	77.0	38.0	29.0	55.0	31.0
0c804f1e7a73ca78f5f7c51c843e4df0	0.0	0.0	73.0	104.0	0.0	0.0	0.0	22.0	63.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	45.0	0.0	174.0	0.0	0.0	73.0	0.0	0.0	69.0	0.0	73.0	0.0	0.0	0.0	75.0	118.0	152.0	0.0	0.0	36.0
c4d877babb8d3153d63609714294dde1	0.0	34.0	70.0	36.0	22.0	37.0	41.0	32.0	22.0	33.0	35.0	11.0	0.0	37.0	24.0	70.0	67.0	62.0	30.0	77.0	29.0	36.0	0.0	51.0	54.0	33.0	0.0	0.0	0.0	0.0	0.0	33.0	29.0	29.0	33.0	29.0
