Taxa and Samples	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV21	4.75582317348023	2.22930014209432	3.11386180010899	0	0	2.73637532127234	2.93007873931315	4.43893521175172	2.14593006859109	2.07380988029659	4.26607792596952	2.40792811123046	2.84343587359206	3.75109831303116	3.419658785031	3.24899293597468	2.3654035329817	2.60343374876804	1.72196343082696	0	4.38253971648827	1.90609749004119	2.58616544837769	3.10893568783212	2.73960724615063	4.73802334011239	3.07121271487412	2.58246086138983	4.44368923775013	5.61931563501205	3.02582672475543	0	0	0	0	0
ASV22	4.83608125671405	1.86197366593781	3.23613509565458	2.63333690327977	2.50141549713871	3.50892162498607	2.20531060017821	3.12501257956674	2.7462320928096	3.4604218685498	3.85702598433331	3.14814805904706	2.15308558933957	2.69529566633842	3.33550950586707	2.60980482553433	3.19107224125553	1.62156328972955	2.52970497891954	2.6750865181237	3.33892938140502	3.6714285881643	2.54551659274241	3.56547781637902	3.07034794901999	4.48576090185688	3.29502247483383	2.15866129493023	4.87645321718685	4.48726582683402	3.02582672475543	3.23816510020389	0	0	0	0
ASV23	0	2.38296427661463	3.64217611813275	4.71727046014139	2.78055775436484	2.34784223628606	2.10794223315602	3.25576117092162	2.63696755203533	2.89140743856296	4.1001774291189	2.76664677254656	2.69130764354759	3.12815379714168	3.73641150221011	3.4588736456102	2.21221031252264	3.02757810683749	2.69641107621274	0	3.64963292944094	3.55359931993087	3.62581730176138	4.31236926646252	3.68639205577483	4.27674072480943	3.46589159571123	2.85539301495364	3.38652138636595	3.61945087710645	2.36413011410043	2.64246084422462	0	0	0	0
ASV24	4.30777384354775	2.1022575613231	4.64338478820102	3.70314586653414	3.78434162536424	3.09624826382479	2.38230605162409	4.43893521175172	2.19815057362392	4.07562052424313	1.713725900902	3.69877618951528	2.52122620609086	0	1.59503506340438	2.70698619507818	2.10022619113873	3.77539658858437	2.39067644246054	4.23909834321824	2.64811804415724	2.5840612106057	3.34707634230178	3.43768150207022	3.26369113649891	4.13918284429608	3.10116262048498	2.28711878289814	2.60287756093212	0	2.15607870518446	2.79242905447912	0	0	0	0
ASV25	0	1.636003627824	0	0	2.78055775436484	2.47576403490228	2.6478021878982	2.98122279296937	3.03171525509156	2.81604588232165	4.37577573526268	3.17830582607803	2.84343587359206	3.15898508141215	3.49916915398469	3.31213789016323	2.95393053540755	3.18230208574994	2.88089074855018	0	3.12103220197967	2.5840612106057	3.37053760413024	4.51593718064654	3.41100524588333	4.05425770772948	3.93363655823154	2.54868441428054	3.56583888651433	4.13667223877108	3.53624206592746	3.33912698387536	0	0	0	0
ASV26	3.43145831407078	1.96293790577846	2.78038191936713	2.59099132287057	2.5447546438468	2.43437104637199	2.42335861634384	2.92992156426386	3.26993129807386	2.07380988029659	2.52359771043327	3.59080428896518	2.52122620609086	2.007812140558	2.9005788677896	3.78246386387134	2.50388006729874	2.42893366953766	2.65650547467377	3.63458776208217	3.52819381217352	3.8816347891464	2.22352665614095	5.20669579436404	4.08781329703584	3.00918960396381	3.3207066795124	2.06619364220847	3.53745801572488	2.22855273141302	4.07914610332228	2.74415127667617	0	0	0	0
ASV27	4.34482410757675	2.1022575613231	4.93578701940901	3.70314586653414	3.83758954258278	3.09624826382479	2.5021171545931	4.59528963888305	2.38996200178063	3.55616450412266	2.08069071292967	4.0151174457739	2.72304370780683	0	1.77619762838752	2.06699564464535	1.53776496113113	3.44940822231374	2.1816410962016	4.5622078839565	2.69401646071705	2.80642787252064	3.00126306871756	3.14211628287841	2.91443478523459	3.98711331202549	3.13050339911915	2.67928988326931	2.08049636748983	0	1.72450992291573	1.6097472022917	0	0	0	0
ASV28	0	2.22930014209432	2.9802576956066	0	0	3.09624826382479	0	0	2.67431613121001	2.4176230968937	3.87582039627906	2.64234245729886	3.0070552630314	3.68907737074802	3.44665207062436	3.14877013191385	2.26510289049157	0	1.79729743443427	0	4.36845559974371	3.08650851653045	2.97088558223437	3.26769636703721	2.73960724615063	4.5646413353762	3.37074273347215	2.47866242021252	4.6697147054508	5.42409854552502	2.70735435942001	3.78323639415252	0	0	0	0
ASV29	0	1.96293790577846	3.07068738183442	2.63333690327977	2.78055775436484	3.06945948461566	2.29652093684845	2.36118752533459	2.47708143540808	3.09640862709853	3.79912747831455	2.80581028053865	1.65757726927559	2.60860823089605	3.33550950586707	2.3932814103894	2.98579417387011	3.35494285079834	2.88089074855018	2.89997297508296	3.39558513661267	2.75396617698214	2.37039796821128	3.04019346565373	3.33922766197425	4.15965536846026	3.51121178914022	2.514098195035	4.78284143232736	4.42672851951967	3.64655352463644	3.1667051887034	0	0	0	0
ASV30	3.97114372961102	1.96293790577846	4.75668657794924	3.39394399451359	3.6518756823019	2.83510238308641	1.89095387639506	4.17819261742591	2.3443465977784	3.50908727052971	3.03917641008743	3.20784606861257	2.48466422703798	0	2.01132670268874	2.20648155972391	1.91404593806624	3.56644843518393	2.1242813235113	4.02666083371696	3.0522129055389	2.85704861599769	3.50381645516124	3.56547781637902	2.58268489853596	3.84265346377891	3.00938052975566	2.20276361458752	2.42839156874231	3.97696329998479	2.22881425722475	2.28568895145604	0	0	0	0
ASV31	0	2.61784853969299	2.88377847467954	0	0	3.19868996761133	2.46327525971224	0	2.24854672244957	3.24746864097124	4.0347845901363	2.40792811123046	2.1989460681383	3.82985147590286	3.24614629448535	2.88367236875566	2.31612468779196	3.02757810683749	1.72196343082696	0	4.39648766716503	3.04344365176644	3.19768323617437	3.38321521567151	3.36355247893013	4.33190266226017	2.97744140897014	2.20276361458752	4.74610940087672	4.96274944076509	2.6017660812661	0	0	0	0	0
ASV32	0	1.36794560685212	2.66899897487836	2.14074812536267	2.5447546438468	2.30255050069266	2.68203549512251	2.98122279296937	3.45299866338495	2.4176230968937	2.7026941765118	3.71943368793775	1.78332163945076	2.007812140558	2.86099410180661	3.51362937476543	1.97881263897739	2.60343374876804	2.1816410962016	3.41902457571033	3.52819381217352	3.75388603393621	2.05999081755716	5.29785232405054	3.86739303492221	3.05362337818107	2.56961997710154	2.20276361458752	3.38652138636595	2.80545413780255	4.24614143609238	2.74415127667617	0	0	0	0
ASV33	4.08501232889892	2.14586000481903	5.34202133435098	2.25363965647746	2.09793206496409	2.15746300534648	2.38230605162409	2.43663975376406	2.7462320928096	2.81604588232165	2.31907442351964	2.18841752102617	2.55688445688763	2.51637711623461	2.39070593850198	2.20648155972391	2.26510289049157	4.10056469309037	2.8099038538883	2.81417765422731	2.15211271656283	0	2.54551659274241	3.10893568783212	2.45266736489607	4.27674072480943	2.65286266707439	2.6154645891185	2.08049636748983	3.10495497978172	2.54592509858205	2.69420184955923	2.50159942392598	3.30637362155932	2.21319947798706	2.63105891531061
ASV34	0	1.91333882921563	4.36827135942052	0	2.03853151146714	1.93808618825606	2.10794223315602	3.52139737194369	2.94268670232457	2.69506529500976	3.93077778097194	2.95262674173789	2.28651246038438	3.12815379714168	3.73641150221011	3.21635286134442	1.97881263897739	3.14514876838462	2.34118796692599	0	3.24954216950568	3.49086765706777	3.62581730176138	4.09236037031506	3.4341588785737	3.59458824819444	3.51121178914022	2.32751607547213	3.2877469905032	3.59214697660356	3.1052487990617	2.58879494397756	0	0	0	0
ASV35	4.1492550090623	2.22930014209432	4.71523411881027	3.46600726831132	3.83758954258278	2.80293824011086	2.42335861634384	4.01546311738781	2.59862633616396	3.84863239505192	2.3729870240114	3.17830582607803	2.24339353287731	0	2.1491720754935	1.91256592338423	2.10022619113873	3.53806644769071	1.64247789176978	4.15435010906423	2.97994563647348	2.80642787252064	3.37053760413024	3.17455088128818	2.66327858243397	3.33137940077869	3.37074273347215	1.62246284151881	2.60287756093212	0	1.91288519728431	2.88439257451856	0	0	0	0
ASV36	0	0	0	3.85401140424546	4.41795012278716	4.63890859621351	0	0	2.78088893687147	0	3.8943731131598	4.35583772851203	0	0	0	2.50560136080627	3.57307636518387	0	0	0	0	4.52252738396806	0	3.32661170447217	0	5.48599600513368	0	0	4.1570175931898	0	4.07914610332228	0	3.67109196759879	0	0	0
ASV37	0	1.29235497950402	0	0	2.74383756589718	2.47576403490228	2.42335861634384	3.33677585929468	2.51874459753159	2.89140743856296	3.83798349675535	2.95262674173789	2.05674493831152	2.99778453260679	3.21508466059495	2.96451223780589	2.26510289049157	3.10701330346344	2.84583386532454	0	3.08703286626999	2.80642787252064	3.66429452811902	3.85283926101161	3.5446609601682	3.09672942129733	3.86546935118534	2.32751607547213	3.2179283573722	3.67255569616548	3.74902616566805	3.09152040561337	0	0	0	0
ASV38	0	2.26927762492362	0	2.19829783590261	2.36299214967087	1.99613614330758	2.20531060017821	3.4134820327768	2.19815057362392	2.69506529500976	2.78454098272531	2.40792811123046	2.62566109515204	2.65260295082482	2.77840917714104	2.5586436941175	2.66999047920293	3.70054216226894	3.04443277315676	2.94103021333004	2.86426769626492	0	2.54551659274241	2.32609205364039	2.66327858243397	4.45296015647185	2.33771310481809	2.6154645891185	3.14455828128389	3.25177144098097	2.48783540296849	2.21660101035014	3.01347877854245	3.70391865488431	2.64931335232559	2.67083248983877
ASV39	1.6139056704855	2.84646490633095	2.72576509214767	2.19829783590261	2.5447546438468	2.86656505360457	2.38230605162409	2.28157035727122	1.78533378824416	2.46772866899012	2.01438786135576	2.95262674173789	2.44715151745613	1.62172676274623	2.08189510447298	1.82867442609981	2.3654035329817	2.42893366953766	2.06454623152185	3.01979735371024	2.64811804415724	2.64294768706761	2.32308294389111	2.32609205364039	2.77630875071287	2.81635756700432	2.33771310481809	2.82749511305726	2.48892887605667	2.8522382320281	2.22881425722475	2.69420184955923	3.51750765639698	3.76069892358876	4.23430373175051	3.1919618219311
ASV40	0	2.30817712462755	0	1.65701124149151	2.26273334584338	2.86656505360457	2.46327525971224	2.43663975376406	2.24854672244957	2.5161522990772	3.65424622172411	2.80581028053865	1.59034106603649	2.77706822687849	3.08368462195175	3.21635286134442	3.01696924633796	2.54757979315827	2.06454623152185	0	2.90386658785693	2.08663579630593	1.87551901883823	2.96801118432673	3.38747395419072	4.05425770772948	3.00938052975566	2.2455576475421	4.83040646209525	4.17398218050627	3.38531807998452	2.69420184955923	0	0	0	0
ASV41	0	0	0	0	0	0	0	0	0	3.82959819841708	0	0	0	3.73071948642928	0	0	0	0	4.12479324166576	4.22254229183421	4.5034673159497	0	0	0	0	0	4.35003833970762	2.40506773052486	0	5.42409854552502	0	4.60025868781767	0	0	0	5.05344990454675
ASV42	3.16761073791856	1.636003627824	2.48392685681559	2.82821281904338	2.816366473598	2.70190562347387	2.5021171545931	2.98122279296937	2.91174631337487	2.5161522990772	3.22654718727916	2.80581028053865	2.0060494782585	1.86552445454892	2.82029249015541	4.00898497172126	2.45918195262631	0	3.24611368972656	2.85771298863219	2.73849956032974	3.49086765706777	2.7381925905478	2.93051894809863	2.54063432648608	4.27674072480943	2.52612533363829	2.44233430058999	3.41799847312696	0	2.48783540296849	3.27261010743231	0	0	0	0
ASV43	0	0	0	0	0	0	4.24094025107615	0	2.47708143540808	0	3.75919591877937	4.3020698124664	0	0	0	3.00329461290625	4.29927062626157	0	0	0	0	4.45839918485901	0	3.66014264444133	0	0	0	4.16263035092209	4.08039800750746	0	4.5456831013374	0	0	0	0	4.37436205671633
ASV44	3.28664047749194	1.1281420955404	4.53637664560593	3.9742024976603	2.816366473598	2.34784223628606	2.68203549512251	2.64186489195563	2.7462320928096	2.73652966878417	2.82378652868119	3.02078750640612	2.40863731011542	2.73676123195312	2.33400675860316	0	3.13534020898553	2.23038494929971	1.8688921308663	0	2.33705021320872	2.45854672064152	2.62570031225928	3.46416245992671	3.18398009997148	2.91599295504605	2.33771310481809	2.54868441428054	3.2179283573722	2.65524629516158	2.94177634021128	2.69420184955923	0	0	0	0
ASV45	3.84751163212947	1.36794560685212	4.17796254780544	2.86421725901328	2.816366473598	2.43437104637199	1.56382106318251	3.77501420201539	2.63696755203533	3.15874314733893	2.31907442351964	2.95262674173789	2.44715151745613	3.66779672764238	2.1491720754935	2.13842370771281	1.7750777121674	3.59428282239104	2.39067644246054	3.84390244700553	2.50095183049763	2.39144189162489	3.03101409291151	2.93051894809863	2.35898641108727	3.05362337818107	2.61184162085416	1.96739104975315	2.54702793030071	0	2.42730825632691	2.35161904886434	0	0	0	0
ASV46	0	0	4.53637664560593	4.9275589012883	0	4.36921916561729	0	0	2.3443465977784	0	0	1.99864852913687	0	0	0	0	0	0	0	3.19973366939107	4.20371369084945	2.95325430355538	4.90828592184198	2.68246323413626	0	4.33190266226017	3.91689433068963	0	2.60287756093212	0	2.54592509858205	0	0	0	0	0
ASV47	4.91210884153944	0	0	0	4.30905322725718	0	0	0	3.90971203400625	0	4.50211732753389	0	0	0	4.69256828574259	0	0	0	0	4.52218270639088	0	0	0	0	3.77972924070496	0	0	3.34306795262364	0	0	0	0	2.32766980369112	0	3.97544226238598	3.29736294929083
ASV48	0	2.38296427661463	0	2.75339075125857	2.31373349706823	2.10566626467747	2.29652093684845	2.82149910437787	2.29724169390368	3.33105223186713	2.14407985903614	2.80581028053865	2.28651246038438	3.18917124468735	2.73527348840568	2.3932814103894	2.7463838259007	0	2.6154645891185	2.28643007742097	2.97994563647348	3.85697399962959	2.90814164031431	2.38271556179362	2.77630875071287	0	2.33771310481809	2.54868441428054	2.85367109456643	1.82153153505845	2.36413011410043	3.43348316659966	2.54199219200925	0	2.42342485701733	3.73274375555982
ASV49	3.43145831407078	2.5865456184493	0	2.45594377241481	2.36299214967087	2.83510238308641	2.53994066162312	2.10780328953452	2.43417922439023	2.85421868391255	2.52359771043327	2.64234245729886	2.3690666596667	2.46795186061561	2.59754225413384	2.13842370771281	2.8538861862083	0	2.34118796692599	2.85771298863219	2.15211271656283	4.14872646143679	2.46061270346862	2.81181584706212	2.30976137604401	0	1.9989822256785	2.79904708413032	2.89899271182604	2.60148839781204	2.6017660812661	3.20287754538293	1.7009571232923	0	2.9158353805932	3.24562472757417
ASV50	2.49487258234361	2.01088831614274	1.92886482915586	1.8844148957512	1.53580375162705	2.30255050069266	2.10794223315602	2.28157035727122	2.59862633616396	2.5161522990772	2.65996099165062	2.50630943855948	2.3690666596667	2.31208590748836	1.93712817160502	2.33366235630022	1.44911400188697	2.23038494929971	2.57322192734555	2.15300526446276	2.39377837990704	2.99905363059506	2.80859222491294	2.76997383769569	1.97287133384649	2.25622146216902	2.17826625704229	2.93598895061402	2.60287756093212	2.75710192322891	2.29805807810758	1.98694833260173	3.20173976203416	3.6040175352243	4.05651478444001	2.70953890374877
ASV51	3.03787011116975	0	2.83300629021082	2.59099132287057	2.70615829278758	2.43437104637199	2.6478021878982	3.12501257956674	2.7462320928096	3.68882605712651	2.20480064365354	3.02078750640612	2.15308558933957	3.09664921428942	3.44665207062436	0	2.31612468779196	2.08100474513633	0	2.76928759365781	2.82355115047563	2.80642787252064	2.70166116485248	2.32609205364039	3.21104275767812	0	2.97744140897014	3.21971192738246	3.14455828128389	0	3.91250988352581	2.97084358496337	0	0	0	0
ASV52	5.29000697349548	1.57351247997762	4.25712308340052	1.1739470141975	2.58682974509186	2.83510238308641	1.83119403718163	2.64186489195563	1.56441994605338	2.5161522990772	2.31907442351964	2.18841752102617	2.28651246038438	3.30397042559247	1.68845810502096	3.14877013191385	2.10022619113873	2.08100474513633	2.23680725276001	2.34878345931297	2.4483600753827	3.49086765706777	2.22352665614095	2.68246323413626	2.58268489853596	3.05362337818107	2.06125216395441	1.96739104975315	2.60287756093212	2.75710192322891	2.54592509858205	2.28568895145604	0	0	0	0
ASV53	2.62105163710935	1.57351247997762	2.54829184626417	2.50237849128579	2.6674684881633	1.74845042431599	2.74815750569043	2.10780328953452	1.97686893652497	3.3578708909795	4.16273429713506	1.99864852913687	2.3283799712017	2.25614964981493	2.644928773534	2.60980482553433	1.97881263897739	2.29964872038294	2.34118796692599	0	2.64811804415724	3.35657594808253	2.7381925905478	3.68286916337058	3.88430423699708	2.86703521739552	2.12094523267552	3.17613253482176	2.54702793030071	2.42703761326287	0	2.88439257451856	0	0	0	0
