	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0
ASV955	0	0	0	0	0	7	0	0	0	48	51	0	0	0	0	0	0	18	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
ASV956	0	14	0	0	0	14	0	0	0	31	0	0	19	0	0	0	0	89	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ASV957	0	48	15	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0
ASV958	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
ASV959	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	39	0	0	0	0	0
ASV960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0
ASV961	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	46	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV962	37	0	0	0	0	0	23	0	0	0	0	0	16	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0
ASV963	0	0	13	0	0	0	0	0	0	39	0	0	0	0	0	0	19	0	24	25	0	0	0	0	0	0	24	30	0	0	0	0	0	0	0	0
ASV964	0	9	0	0	16	10	0	43	19	12	1	1	0	0	0	0	11	0	5	0	0	7	2	0	0	0	6	19	0	0	0	13	0	0	0	0
ASV965	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	50	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0
ASV967	0	0	0	0	0	14	19	31	22	0	0	0	0	0	0	0	0	49	0	0	0	0	4	0	0	0	0	0	0	0	35	0	0	0	0	0
ASV968	0	0	0	69	41	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV969	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	91	21
ASV970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	87	0	0	0	60	0	0
ASV971	30	18	42	28	0	0	0	0	0	12	0	0	18	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV972	0	0	0	0	0	0	0	0	0	0	66	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0
ASV973	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	76	0	0	0	0	0	0	0	47	0
ASV975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0
ASV976	0	0	9	16	0	20	21	24	0	22	0	0	0	0	0	0	0	15	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV977	0	0	0	0	0	0	0	0	0	0	0	37	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0
ASV978	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV979	0	41	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV980	0	0	0	0	0	0	41	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
ASV981	0	3	0	15	13	6	0	9	0	8	0	8	4	0	0	0	0	0	0	23	0	5	8	0	9	0	0	4	0	0	0	10	0	0	46	0
ASV982	0	0	41	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	52	0	0	0	0	0	0	0	0
ASV983	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
ASV984	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	49	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV985	0	0	0	14	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	19	0	0	0	0	0	0	0	0
ASV986	0	0	0	0	0	20	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	20	42	0	0	0	0	0	0	0
ASV987	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0
ASV988	15	0	19	28	0	0	31	0	12	13	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	22	0	0	0	12	0	0	0	0
ASV989	0	0	14	7	0	10	14	25	0	19	0	0	71	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV990	0	44	0	0	30	45	0	0	0	12	0	0	0	0	0	0	0	22	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV991	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	55	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0
ASV992	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0
ASV993	0	0	0	36	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0
ASV994	0	0	0	99	0	0	0	30	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV995	0	20	0	0	0	10	0	11	0	6	0	0	18	0	0	0	0	14	0	0	0	0	0	51	0	0	39	0	0	0	0	0	0	0	0	0
ASV996	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	31	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV997	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
ASV998	0	0	0	0	0	0	0	0	6	0	0	0	0	57	0	16	0	0	0	7	0	0	0	0	12	71	0	0	0	0	0	0	0	0	0	0
ASV999	0	0	0	0	0	57	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
ASV1000	111	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1001	50	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1002	0	0	0	0	0	0	0	0	0	0	0	70	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1003	0	0	0	0	0	0	53	0	0	0	0	45	0	0	0	0	0	0	0	0	0	21	13	0	0	5	0	4	0	0	27	0	0	0	0	0
ASV1004	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0
ASV1005	0	41	0	0	0	0	0	0	50	0	0	0	0	0	54	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0
ASV1007	0	0	0	0	0	12	75	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1008	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1009	0	55	11	13	0	21	11	19	0	20	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1010	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	33	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	48	0	0	0
ASV1011	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	61	0	0	73	0	0	0	0	0	0	0	31	0	0	0	0	0	0
ASV1012	0	40	0	0	0	28	15	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0
ASV1013	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1014	0	65	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1015	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	62	32	0	0	0	0	0	0	0	0
ASV1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0
ASV1017	20	10	0	7	0	10	0	26	0	0	0	0	25	0	0	0	0	0	58	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1018	0	0	0	0	0	0	28	0	68	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
ASV1019	0	0	0	0	0	0	0	0	0	0	0	41	0	0	25	0	18	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1020	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	109	0	0	0	0	0	0	0
ASV1021	0	0	0	0	0	0	54	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	60	0	33	0	0
ASV1022	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
ASV1023	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1024	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0
ASV1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	107	0	0
ASV1026	0	0	0	57	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0
ASV1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
ASV1028	48	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0
ASV1029	0	0	0	0	0	0	0	0	66	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1030	0	0	0	0	0	0	23	0	0	22	0	0	0	0	0	0	0	13	0	89	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1031	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	40	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0
ASV1032	0	14	0	0	12	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0
ASV1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0
ASV1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
ASV1035	0	0	0	147	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1036	0	0	0	0	0	72	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1037	54	0	0	0	0	0	0	0	0	0	0	32	0	0	0	46	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
ASV1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0
ASV1040	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0
ASV1042	0	0	26	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0
ASV1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0
ASV1044	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0
ASV1045	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	63	0	0	0	0	0	0	0	0	0	0
ASV1046	0	0	0	0	0	79	59	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1047	0	0	0	0	0	0	0	0	57	0	38	0	0	0	0	0	0	0	0	0	0	0	0	26	0	41	0	0	0	0	0	0	0	0	0	0
ASV1048	0	21	15	0	0	4	9	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	6	32	63	0	0	0	0	0	0	0	0	0	0	0
ASV1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1050	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	36	0	15
ASV1051	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1052	0	0	0	0	0	0	68	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1053	0	27	0	0	41	29	33	0	0	14	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1054	0	0	0	0	0	18	0	0	0	12	0	0	15	0	0	0	0	0	0	0	0	25	0	0	0	24	0	0	0	0	67	0	0	0	0	0
ASV1055	0	0	0	0	0	0	0	0	0	0	73	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0
ASV1056	0	0	0	0	0	0	0	0	30	0	0	0	27	0	0	47	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1057	0	0	0	65	0	0	0	0	0	0	0	0	0	41	0	15	0	0	0	0	0	0	0	0	5	0	0	8	12	10	0	5	0	0	0	0
ASV1058	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0
ASV1059	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	66	0	0	0	0
ASV1060	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0
ASV1061	0	0	0	0	83	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1062	40	0	0	0	0	0	0	0	13	0	0	0	0	0	8	0	0	0	64	0	0	0	0	0	0	0	14	0	8	0	13	0	0	0	0	0
ASV1063	0	0	0	0	0	0	0	0	0	69	0	0	0	36	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1064	0	0	0	0	20	17	0	0	0	11	0	0	0	0	0	0	0	71	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	34
ASV1065	0	0	0	0	10	26	0	0	0	0	24	0	17	0	50	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0	0	13	0	0	0	0
ASV1066	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	52	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	22	0
ASV1067	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0
ASV1068	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	37	33
ASV1069	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0
ASV1070	0	60	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0
ASV1071	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	69	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1073	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1074	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
ASV1075	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0
ASV1076	19	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	60	0	0	0	0	0	0	0	0	0	0
ASV1077	0	82	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1078	0	27	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	74	0	0	0	0
ASV1079	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
ASV1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
ASV1081	9	0	21	23	27	0	0	0	10	13	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	24	0	0	0	7	0	0	0	0
ASV1082	0	0	22	0	0	0	0	0	0	42	0	42	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1083	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	9	0	0	0	23	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0
ASV1084	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	0	0	0	0	0	0	0	0	0	92	0	0	0	36	0	0	0	0	0	0
ASV1085	0	0	0	0	0	0	0	39	0	0	0	80	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
ASV1086	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	57
ASV1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
ASV1088	0	0	0	95	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1089	19	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	33	0	0	28	0	0	0	0
ASV1090	0	0	0	0	0	0	0	0	17	0	23	0	0	0	0	0	0	10	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0
ASV1091	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
ASV1092	0	0	0	41	0	0	0	45	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1093	0	58	0	0	0	0	0	0	0	0	0	0	34	40	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1094	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	19	0	49	0	0	0	0	0	0	44	0	0
ASV1095	0	0	0	0	63	30	0	0	26	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1096	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1097	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	79	0	0	0	0	0	0
ASV1099	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0
ASV1100	0	16	0	0	0	45	32	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1101	0	0	0	0	0	83	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1102	0	0	0	0	0	0	50	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	30	0	0	0	0	0
ASV1103	0	0	0	27	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	33	0	28
ASV1104	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0
ASV1105	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	79	4	0	0	0	0	0	0	0	0
ASV1106	0	49	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
ASV1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	17	0
ASV1109	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	45	0	0	0	0	0	0
ASV1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	38	58
ASV1111	0	0	0	0	84	8	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1112	0	0	0	0	0	0	0	0	0	30	0	0	0	38	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	54	0	0	0
ASV1113	0	25	0	0	0	0	49	0	0	19	0	0	46	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1114	0	0	0	0	0	89	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1115	0	0	0	0	0	0	58	0	0	0	0	0	64	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1116	0	0	0	0	58	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1117	0	0	0	0	0	0	0	18	24	0	0	0	0	51	0	0	0	0	0	29	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1118	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1119	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
ASV1120	0	0	0	57	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
ASV1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0
ASV1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154
ASV1124	41	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	21	0	0	0	0	0	0	0	0	0
ASV1125	26	0	45	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1126	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	3	0	39	0	0	0	0	0	0
ASV1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
ASV1129	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	19	0	0	44	27	0	0	0	0	0	0	0
ASV1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0
