	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV40	0	30	0	12	22	40	30	16	23	25	61	32	14	31	37	39	41	21	18	0	32	13	16	34	55	62	40	27	119	74	41	24	0	0	0	0
ASV41	0	0	0	0	0	0	0	0	0	70	0	0	0	65	0	0	0	0	93	82	107	0	0	0	0	0	110	31	0	182	0	102	0	0	0	186
ASV42	31	16	18	34	35	35	31	25	40	25	44	32	21	14	30	71	26	0	48	29	28	41	34	33	28	73	27	32	42	0	20	38	0	0	0	0
ASV43	0	0	0	0	0	0	119	0	28	0	66	100	0	0	0	33	108	0	0	0	0	84	0	58	0	0	0	122	69	0	97	0	0	0	0	114
ASV44	34	9	87	82	35	26	36	19	35	30	32	38	30	30	20	0	45	16	15	0	20	18	31	50	47	26	23	35	36	23	29	24	0	0	0	0
ASV45	52	12	67	35	35	28	13	46	32	42	21	36	31	62	17	16	14	48	24	62	23	17	43	33	24	29	29	21	21	0	19	18	0	0	0	0
ASV46	0	0	87	164	0	125	0	0	25	0	0	16	0	0	0	0	0	0	0	38	86	27	174	27	0	76	80	0	22	0	21	0	0	0	0	0
ASV47	113	0	0	0	109	0	0	0	86	0	114	0	0	0	123	0	0	0	0	102	0	0	0	0	74	0	0	66	0	0	0	0	25	0	81	51
ASV48	0	32	0	32	23	21	26	22	24	48	18	32	27	43	28	20	33	0	29	18	34	54	39	21	34	0	23	35	27	11	18	43	30	0	24	71
ASV49	38	38	0	25	24	39	32	12	27	33	25	28	29	24	25	16	36	0	23	29	17	67	27	30	23	0	17	43	28	22	22	36	14	0	36	49
ASV50	18	23	11	15	11	25	22	14	31	25	28	25	29	21	14	19	10	16	28	16	21	28	36	29	17	15	20	48	22	25	17	13	51	64	86	32
ASV51	28	0	24	28	32	28	35	28	35	63	19	38	24	40	49	0	23	14	0	27	30	24	33	20	48	0	39	60	34	0	61	30	0	0	0	0
ASV52	148	15	71	7	29	39	17	19	12	25	21	19	27	47	11	37	19	14	21	19	22	41	22	27	29	29	18	21	22	25	21	17	0	0	0	0
ASV53	20	15	19	26	31	15	38	12	18	49	89	16	28	20	26	24	17	17	23	0	26	37	34	59	80	25	19	58	21	19	0	28	0	0	0	0
ASV54	13	31	0	0	40	29	30	8	18	50	78	22	20	20	26	38	16	18	21	78	20	15	39	77	53	19	21	46	26	17	0	18	0	0	0	0
ASV55	17	25	22	42	52	38	23	23	38	27	40	26	21	12	12	24	24	27	24	27	20	25	20	45	46	34	31	45	29	18	11	35	0	0	0	0
ASV56	0	32	79	18	33	25	26	0	61	17	0	33	19	102	62	0	0	0	47	0	77	68	19	38	0	74	23	48	0	0	0	0	0	0	0	0
ASV57	0	38	0	0	24	22	30	15	20	32	61	23	29	33	19	21	14	28	11	42	23	28	31	49	51	49	28	31	24	22	67	30	0	0	0	0
ASV58	0	0	0	0	114	0	93	61	0	104	0	0	103	78	0	0	132	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	103
ASV59	28	14	98	12	24	33	17	33	0	26	0	37	18	0	73	0	0	19	31	32	35	44	21	28	28	21	26	25	67	0	30	69	0	0	0	0
ASV60	27	23	105	22	37	29	15	22	126	24	0	45	10	0	0	0	0	14	16	55	22	0	19	40	32	20	23	19	92	0	25	27	0	0	0	0
ASV61	33	13	13	28	32	35	33	9	39	21	24	38	25	30	11	42	19	0	43	26	38	28	23	29	25	64	42	36	39	0	23	27	0	0	0	0
ASV62	13	20	24	0	62	30	34	14	22	39	41	25	17	34	7	29	31	25	32	17	17	38	27	50	51	36	23	42	30	9	11	37	0	0	0	0
ASV63	20	28	32	25	24	30	33	27	25	32	28	17	24	37	25	0	23	22	39	17	26	20	35	36	37	41	46	39	33	22	15	26	0	0	0	0
ASV64	46	29	34	43	17	7	17	17	25	45	52	19	34	21	19	20	22	29	15	0	25	23	18	75	61	33	25	37	18	23	0	32	0	0	0	0
ASV65	66	74	0	70	19	0	68	0	21	0	0	0	18	37	0	0	25	0	30	0	17	22	53	0	0	0	38	0	0	102	36	87	0	97	0	0
ASV66	41	34	30	14	29	40	18	19	50	33	34	39	18	0	22	0	21	20	18	14	35	31	22	29	30	46	17	32	43	32	29	32	0	0	0	0
ASV67	0	0	0	0	0	63	0	0	46	111	37	28	0	0	22	24	0	0	21	53	27	31	94	26	37	17	20	38	39	26	81	30	0	0	0	0
ASV68	0	0	40	26	76	43	102	0	22	55	0	42	62	0	36	17	16	64	20	0	16	24	31	14	0	30	16	53	17	24	23	0	0	0	0	0
ASV69	0	29	0	0	23	21	20	13	32	21	34	31	28	56	25	48	35	24	17	55	25	23	32	37	46	29	27	35	13	23	33	28	0	0	0	0
ASV70	0	60	0	0	0	69	0	0	99	8	0	104	18	0	0	0	0	26	0	0	120	0	0	0	0	100	132	0	0	0	120	0	0	0	0	0
ASV71	21	27	27	28	34	43	31	19	17	45	32	29	26	18	11	27	25	25	23	13	14	22	27	48	36	32	22	45	11	25	21	29	0	0	0	0
ASV72	0	26	56	19	20	42	19	16	21	19	12	40	18	42	21	0	16	27	46	31	59	32	19	27	29	27	21	22	17	56	32	15	0	0	0	0
ASV73	41	21	24	25	27	31	18	20	20	28	28	30	33	60	34	0	17	15	47	35	15	14	22	29	24	26	21	28	32	19	22	38	0	0	0	0
ASV74	0	19	0	0	0	36	0	0	111	0	0	0	7	85	31	0	155	0	0	69	26	35	15	24	31	88	25	0	72	9	0	0	0	0	0	0
ASV75	18	27	14	18	36	31	23	14	30	14	17	0	22	0	25	17	27	19	9	19	19	9	20	14	26	20	32	21	0	60	113	14	39	0	55	0
ASV76	18	37	41	11	26	36	22	16	34	28	30	27	23	0	21	0	29	34	13	15	21	21	30	40	31	52	24	38	42	22	17	21	0	0	0	0
ASV77	23	0	34	36	34	22	25	25	23	29	22	35	19	44	25	0	27	28	0	17	33	24	36	47	34	0	44	47	35	0	36	14	0	0	0	0
ASV78	0	0	0	0	0	0	0	0	0	128	175	0	60	0	0	0	0	0	0	0	0	180	0	0	83	0	0	0	0	0	0	0	0	187	0	0
ASV79	0	41	35	0	19	25	0	0	31	19	57	30	20	41	33	24	12	0	0	0	48	0	35	17	40	49	22	17	50	115	29	0	0	0	0	0
ASV80	0	20	0	0	37	28	45	11	35	26	25	16	34	21	19	0	24	15	21	0	13	22	27	48	57	34	44	52	33	30	30	39	0	0	0	0
ASV81	18	38	15	42	25	35	29	22	35	20	33	17	27	20	16	25	23	20	20	20	31	27	31	21	25	15	27	25	13	15	20	16	30	0	0	0
ASV82	15	37	14	18	26	38	24	29	28	22	18	26	39	24	14	17	17	24	19	23	25	7	38	16	18	26	18	46	20	16	20	23	36	0	0	0
ASV83	24	31	7	44	32	31	0	0	14	50	0	50	38	40	0	0	0	0	0	65	0	81	0	0	93	0	71	23	33	0	52	0	0	0	0	0
ASV84	23	27	0	0	24	32	20	29	12	32	61	8	31	16	17	29	29	16	16	0	22	21	27	49	44	27	20	32	21	29	45	14	0	0	0	0
ASV85	0	0	0	0	62	43	0	0	39	83	117	0	0	0	41	69	16	0	21	11	21	20	62	0	32	29	20	17	18	0	19	23	0	0	0	0
